t_idx,conservation_residual,kl_divergence_drift,mahalanobis_z_score,anomaly_flag
0,0.0000,0.0000,0.0000,0
1,0.0000,0.0043,0.0000,0
2,0.0000,0.0017,0.6984,0
3,0.0000,0.0015,3.8667,1
4,0.0000,0.0012,5.9217,1
5,0.0000,0.0006,2.1221,0
6,0.0000,0.0010,1.6155,0
7,0.0000,0.0016,9.3870,1
8,0.0000,0.0031,0.9779,0
9,0.0000,0.0012,1.9567,0
10,0.0000,0.0014,1.4614,0
11,0.0000,0.0020,3.6903,1
12,0.0000,0.0008,2.8592,0
13,0.0000,0.0016,3.4710,1
14,0.0000,0.0023,2.6195,0
15,0.0000,0.0022,2.7365,0
16,0.0000,0.0028,0.8501,0
17,0.0000,0.0029,1.6101,0
18,0.0000,0.0079,2.0858,0
19,0.0000,0.0049,1.0090,0
20,0.0000,0.0081,2.5733,0
21,0.0000,0.0041,3.4220,1
22,0.0000,0.0015,1.8664,0
23,0.0000,0.0012,1.2155,0
24,0.0000,0.0013,1.4708,0
25,0.0000,0.0031,1.9505,0
26,0.0000,0.0009,2.3764,0
27,0.0000,0.0020,3.3090,1
28,0.0000,0.0008,1.6135,0
29,0.0000,0.0018,1.8155,0
30,0.0000,1.3267,1.1730,0
31,0.0000,1.1520,1.3978,0
32,0.0000,1.0473,1.7806,0
33,0.0000,0.9183,2.5054,0
34,0.0000,0.7773,1.8268,0
35,0.0000,0.7745,1.3035,0
36,0.0000,1.0318,1.6639,0
37,0.0000,1.4230,2.2481,0
38,0.0000,1.7301,1.5829,0
39,0.0000,1.7895,1.3701,0
40,0.0000,1.6087,2.9650,0
41,0.0000,1.4443,1.0104,0
42,0.0000,1.3563,1.1095,0
43,0.0000,1.1689,1.7291,0
44,0.0000,0.9281,2.9723,0
45,0.0000,0.8046,1.3288,0
46,0.0000,0.9140,1.2647,0
47,0.0000,1.0941,2.1416,0
48,0.0000,1.1650,1.5618,0
49,0.0000,1.0212,1.1368,0
50,0.0000,0.7303,1.0084,0
51,0.0000,0.5018,1.5781,0
52,0.0000,0.3785,1.8943,0
53,0.0000,0.2755,1.2943,0
54,0.0000,0.1713,0.6133,0
55,0.0000,0.1045,1.2092,0
56,0.0000,0.1139,2.2978,0
57,0.0000,0.2092,2.3741,0
58,0.0000,0.3461,1.5714,0
59,0.0000,0.4215,1.4359,0
