Environment,Max_Conservation_Residual,Max_Spectral_Radius,Min_Free_Energy,Max_Local_Z_Score
Sample_0_Healthy,0.0,0.0,2247308.5219,0.0
Sample_1_Wash_Trade,0.0,0.748786,2263565.6164,0.0
Sample_10_NY_Stock,0.0,0.0,3196.3015,0.0
Sample_11_US_Macro,0.0,0.0,1125.1736,0.0
Sample_12_Healthy_Raw,0.0,0.0,2001513.92,0.0
Sample_13_Wash_Trade_Raw,0.0,0.0,2001513.92,0.0
Sample_14_Embezzlement_Raw,359.73,0.0,2001513.92,0.0
Sample_15_Unbalanced_Raw,778.56,0.0,2001513.92,0.0
Sample_16_Chaos_Raw,4534.35,0.0,2001513.92,0.0
Sample_2_Embezzlement_Leak,364.53,0.0,2215301.9621,0.0
Sample_3_Unbalanced_Mistake,906.29,0.0,2238207.8947,0.0
Sample_4_Composite_Chaos,4773.57,0.786143,2332402.2957,0.0
Sample_5_Kyoto_Traffic,0.0,1.0,2449922.2586,0.0
Sample_6_Market_Bipartite_Weekly,0.0,1.0,3187155243.9929,0.0
Sample_7_Market_Users_Weekly,0.0,1.0,3611267026.8327,0.0
Sample_8_fMRI_Stroke,0.0,1.0,167265.394,0.0
Sample_9_fMRI_Seizure,0.0,1.0,496087.7867,0.0
