Trans_Date,Src,Tgt,Amount
2020-01,ACC_Accounts_Payable,ACC_Inventory,38902.100000000006
2020-01,ACC_Cash,ACC_Payroll_Exp,20862.23
2020-01,ACC_Cash,ACC_Rent_Exp,5361.86
2020-01,ACC_Cash,ACC_Travel_Exp,7346.639999999999
2020-01,ACC_Inventory,ACC_COGS,48511.94
2020-01,ACC_Sales_Revenue,ACC_Accounts_Receivable,89013.81999999999
2020-02,ACC_Accounts_Payable,ACC_Inventory,28858.58
2020-02,ACC_Accounts_Receivable,ACC_Cash,57637.0
2020-02,ACC_Cash,ACC_Accounts_Payable,24050.940000000002
2020-02,ACC_Cash,ACC_Accounts_Receivable,33441.14
2020-02,ACC_Cash,ACC_Payroll_Exp,17534.64
2020-02,ACC_Cash,ACC_Rent_Exp,4537.62
2020-02,ACC_Cash,ACC_Travel_Exp,8617.85
2020-02,ACC_Inventory,ACC_COGS,57688.73
2020-02,ACC_Sales_Revenue,ACC_Accounts_Receivable,138162.8
2020-03,ACC_Accounts_Payable,ACC_Inventory,30218.46
2020-03,ACC_Accounts_Receivable,ACC_Cash,79170.81999999999
2020-03,ACC_Cash,ACC_Accounts_Payable,14851.16
2020-03,ACC_Cash,ACC_Accounts_Receivable,12480.83
2020-03,ACC_Cash,ACC_Payroll_Exp,18357.69
2020-03,ACC_Cash,ACC_Rent_Exp,4383.36
2020-03,ACC_Cash,ACC_Travel_Exp,8835.6
2020-03,ACC_Inventory,ACC_COGS,66267.14
2020-03,ACC_Sales_Revenue,ACC_Accounts_Receivable,133670.17
2020-04,ACC_Accounts_Payable,ACC_Inventory,39256.1
2020-04,ACC_Accounts_Receivable,ACC_Cash,107996.67
2020-04,ACC_Cash,ACC_Accounts_Payable,38286.62
2020-04,ACC_Cash,ACC_Payroll_Exp,20657.74
2020-04,ACC_Cash,ACC_Rent_Exp,5260.23
2020-04,ACC_Cash,ACC_Travel_Exp,8799.68
2020-04,ACC_Inventory,ACC_COGS,61087.81
2020-04,ACC_Sales_Revenue,ACC_Accounts_Receivable,114674.15
2020-05,ACC_Accounts_Payable,ACC_Inventory,34595.299999999996
2020-05,ACC_Accounts_Receivable,ACC_Cash,165784.64
2020-05,ACC_Cash,ACC_Accounts_Payable,27729.16
2020-05,ACC_Cash,ACC_Accounts_Receivable,37317.15
2020-05,ACC_Cash,ACC_Payroll_Exp,17020.73
2020-05,ACC_Cash,ACC_Rent_Exp,5325.89
2020-05,ACC_Cash,ACC_Travel_Exp,10749.36
2020-05,ACC_Inventory,ACC_COGS,59966.17
2020-05,ACC_Sales_Revenue,ACC_Accounts_Receivable,144428.38999999998
2020-06,ACC_Accounts_Payable,ACC_Inventory,29755.51
2020-06,ACC_Accounts_Receivable,ACC_Cash,122141.53
2020-06,ACC_Cash,ACC_Accounts_Payable,33577.99
2020-06,ACC_Cash,ACC_Accounts_Receivable,19595.07
2020-06,ACC_Cash,ACC_Payroll_Exp,18023.84
2020-06,ACC_Cash,ACC_Rent_Exp,4323.11
2020-06,ACC_Cash,ACC_Travel_Exp,8200.52
2020-06,ACC_Inventory,ACC_COGS,46865.31
2020-06,ACC_Sales_Revenue,ACC_Accounts_Receivable,104859.04
2020-07,ACC_Accounts_Payable,ACC_Inventory,36757.74
2020-07,ACC_Accounts_Receivable,ACC_Cash,134751.72
2020-07,ACC_Cash,ACC_Accounts_Payable,40958.22
2020-07,ACC_Cash,ACC_Accounts_Receivable,38490.22
2020-07,ACC_Cash,ACC_Payroll_Exp,17885.3
2020-07,ACC_Cash,ACC_Rent_Exp,6329.26
2020-07,ACC_Cash,ACC_Travel_Exp,6949.7
2020-07,ACC_Inventory,ACC_COGS,39896.979999999996
2020-07,ACC_Sales_Revenue,ACC_Accounts_Receivable,109748.79
2020-08,ACC_Accounts_Payable,ACC_Inventory,35335.95
2020-08,ACC_Accounts_Receivable,ACC_Cash,130167.79
2020-08,ACC_Cash,ACC_Accounts_Payable,30042.22
2020-08,ACC_Cash,ACC_Accounts_Receivable,40572.270000000004
2020-08,ACC_Cash,ACC_Payroll_Exp,15609.099999999999
2020-08,ACC_Cash,ACC_Rent_Exp,3813.69
2020-08,ACC_Cash,ACC_Travel_Exp,11084.52
2020-08,ACC_Inventory,ACC_COGS,30913.0
2020-08,ACC_Sales_Revenue,ACC_Accounts_Receivable,97139.49
2020-09,ACC_Accounts_Payable,ACC_Inventory,37496.14
2020-09,ACC_Accounts_Receivable,ACC_Cash,101128.43
2020-09,ACC_Cash,ACC_Accounts_Payable,7752.82
2020-09,ACC_Cash,ACC_Accounts_Receivable,19092.42
2020-09,ACC_Cash,ACC_Payroll_Exp,20266.54
2020-09,ACC_Cash,ACC_Rent_Exp,3542.55
2020-09,ACC_Cash,ACC_Travel_Exp,5516.44
2020-09,ACC_Inventory,ACC_COGS,22216.66
2020-09,ACC_Sales_Revenue,ACC_Accounts_Receivable,60397.96
2020-10,ACC_Accounts_Payable,ACC_Inventory,32337.83
2020-10,ACC_Accounts_Receivable,ACC_Cash,68113.38
2020-10,ACC_Cash,ACC_Accounts_Payable,63848.93
2020-10,ACC_Cash,ACC_Accounts_Receivable,15481.72
2020-10,ACC_Cash,ACC_Payroll_Exp,16740.79
2020-10,ACC_Cash,ACC_Rent_Exp,5220.03
2020-10,ACC_Cash,ACC_Travel_Exp,7552.33
2020-10,ACC_Inventory,ACC_COGS,22206.75
