Trans_Date,Src,Tgt,Amount
2020-01,ACC_Accounts_Payable,ACC_Inventory,39033.54
2020-01,ACC_Accounts_Receivable,ACC_Cash,756.96
2020-01,ACC_Cash,ACC_Accounts_Payable,7765.85
2020-01,ACC_Cash,ACC_Payroll_Exp,20862.23
2020-01,ACC_Cash,ACC_Rent_Exp,5361.86
2020-01,ACC_Cash,ACC_Travel_Exp,7392.3
2020-01,ACC_Inventory,ACC_COGS,47226.0
2020-01,ACC_Sales_Revenue,ACC_Accounts_Receivable,86528.03
2020-02,ACC_Accounts_Payable,ACC_Inventory,32399.440000000002
2020-02,ACC_Accounts_Receivable,ACC_Cash,60523.0
2020-02,ACC_Cash,ACC_Accounts_Payable,31267.690000000002
2020-02,ACC_Cash,ACC_Payroll_Exp,17202.1
2020-02,ACC_Cash,ACC_Rent_Exp,5238.87
2020-02,ACC_Cash,ACC_Travel_Exp,7325.83
2020-02,ACC_Inventory,ACC_COGS,57688.46
2020-02,ACC_Sales_Revenue,ACC_Accounts_Receivable,104067.6
2020-03,ACC_Accounts_Payable,ACC_Inventory,30012.28
2020-03,ACC_Accounts_Receivable,ACC_Cash,107890.07
2020-03,ACC_Cash,ACC_Accounts_Payable,32399.440000000002
2020-03,ACC_Cash,ACC_Payroll_Exp,18357.69
2020-03,ACC_Cash,ACC_Rent_Exp,4383.36
2020-03,ACC_Cash,ACC_Travel_Exp,7196.97
2020-03,ACC_Inventory,ACC_COGS,69156.51
2020-03,ACC_Sales_Revenue,ACC_Accounts_Receivable,124763.55
2020-04,ACC_Accounts_Payable,ACC_Inventory,37666.81
2020-04,ACC_Accounts_Receivable,ACC_Cash,113053.28
2020-04,ACC_Cash,ACC_Accounts_Payable,30012.28
2020-04,ACC_Cash,ACC_Payroll_Exp,19365.120000000003
2020-04,ACC_Cash,ACC_Rent_Exp,5268.66
2020-04,ACC_Cash,ACC_Travel_Exp,3555.56
2020-04,ACC_Inventory,ACC_COGS,59539.07
2020-04,ACC_Sales_Revenue,ACC_Accounts_Receivable,108604.38
