Trans_Date,Src,Tgt,Amount
2020-01,一条堀川,一条新町,2553
2020-01,一条堀川,二条堀川,2621
2020-01,一条室町,一条新町,2795
2020-01,一条室町,一条烏丸,2989
2020-01,一条室町,二条室町,2951
2020-01,一条新町,一条堀川,2644
2020-01,一条新町,一条室町,2776
2020-01,一条新町,二条新町,2776
2020-01,一条烏丸,一条室町,3025
2020-01,一条烏丸,一条車屋,3152
2020-01,一条烏丸,二条烏丸,3096
2020-01,一条車屋,一条烏丸,3021
2020-01,一条車屋,二条車屋,2871
2020-01,三条堀川,三条新町,3002
2020-01,三条堀川,二条堀川,2786
2020-01,三条堀川,四条堀川,3012
2020-01,三条室町,三条新町,3173
2020-01,三条室町,三条烏丸,3312
2020-01,三条室町,二条室町,3146
2020-01,三条室町,四条室町,3227
2020-01,三条新町,三条堀川,2958
2020-01,三条新町,三条室町,3170
2020-01,三条新町,二条新町,2964
2020-01,三条新町,四条新町,3087
2020-01,三条烏丸,三条室町,3227
2020-01,三条烏丸,三条車屋,3526
2020-01,三条烏丸,二条烏丸,3304
2020-01,三条烏丸,四条烏丸,3427
2020-01,三条車屋,三条烏丸,3390
2020-01,三条車屋,二条車屋,3159
2020-01,三条車屋,四条車屋,3212
2020-01,二条堀川,一条堀川,2652
2020-01,二条堀川,三条堀川,2807
2020-01,二条堀川,二条新町,2750
2020-01,二条室町,一条室町,3040
2020-01,二条室町,三条室町,3104
2020-01,二条室町,二条新町,2940
2020-01,二条室町,二条烏丸,3062
2020-01,二条新町,一条新町,2875
2020-01,二条新町,三条新町,3044
2020-01,二条新町,二条堀川,2807
2020-01,二条新町,二条室町,2909
2020-01,二条烏丸,一条烏丸,3072
2020-01,二条烏丸,三条烏丸,3130
2020-01,二条烏丸,二条室町,3136
2020-01,二条烏丸,二条車屋,3237
2020-01,二条車屋,一条車屋,2938
2020-01,二条車屋,三条車屋,3167
2020-01,二条車屋,二条烏丸,3256
2020-01,五条堀川,五条新町,2916
2020-01,五条堀川,四条堀川,3111
2020-01,五条室町,五条新町,2994
2020-01,五条室町,五条烏丸,3309
2020-01,五条室町,四条室町,3465
2020-01,五条新町,五条堀川,2966
2020-01,五条新町,五条室町,3154
2020-01,五条新町,四条新町,3244
2020-01,五条烏丸,五条室町,3205
2020-01,五条烏丸,五条車屋,3385
2020-01,五条烏丸,四条烏丸,3569
2020-01,五条車屋,五条烏丸,3261
2020-01,五条車屋,四条車屋,3454
2020-01,四条堀川,三条堀川,2976
2020-01,四条堀川,五条堀川,3130
2020-01,四条堀川,四条新町,3003
2020-01,四条室町,三条室町,3274
2020-01,四条室町,五条室町,3457
2020-01,四条室町,四条新町,3221
2020-01,四条室町,四条烏丸,3537
2020-01,四条新町,三条新町,3100
2020-01,四条新町,五条新町,3361
2020-01,四条新町,四条堀川,3116
2020-01,四条新町,四条室町,3208
2020-01,四条烏丸,三条烏丸,3417
2020-01,四条烏丸,五条烏丸,3450
2020-01,四条烏丸,四条室町,3449
2020-01,四条烏丸,四条車屋,3559
2020-01,四条車屋,三条車屋,3307
2020-01,四条車屋,五条車屋,3361
2020-01,四条車屋,四条烏丸,3592
2020-02,一条堀川,一条新町,2464
2020-02,一条堀川,二条堀川,2417
2020-02,一条室町,一条新町,2610
2020-02,一条室町,一条烏丸,2683
2020-02,一条室町,二条室町,2796
2020-02,一条新町,一条堀川,2464
2020-02,一条新町,一条室町,2567
2020-02,一条新町,二条新町,2588
2020-02,一条烏丸,一条室町,2796
2020-02,一条烏丸,一条車屋,2934
2020-02,一条烏丸,二条烏丸,2892
2020-02,一条車屋,一条烏丸,2971
2020-02,一条車屋,二条車屋,2677
2020-02,三条堀川,三条新町,2784
2020-02,三条堀川,二条堀川,2606
2020-02,三条堀川,四条堀川,2681
2020-02,三条室町,三条新町,2892
2020-02,三条室町,三条烏丸,2985
2020-02,三条室町,二条室町,2933
2020-02,三条室町,四条室町,3126
2020-02,三条新町,三条堀川,2726
2020-02,三条新町,三条室町,2946
2020-02,三条新町,二条新町,2713
2020-02,三条新町,四条新町,2943
2020-02,三条烏丸,三条室町,3086
2020-02,三条烏丸,三条車屋,3205
2020-02,三条烏丸,二条烏丸,3039
2020-02,三条烏丸,四条烏丸,3141
2020-02,三条車屋,三条烏丸,3249
2020-02,三条車屋,二条車屋,2942
2020-02,三条車屋,四条車屋,3029
2020-02,二条堀川,一条堀川,2507
2020-02,二条堀川,三条堀川,2526
2020-02,二条堀川,二条新町,2565
2020-02,二条室町,一条室町,2790
2020-02,二条室町,三条室町,2882
2020-02,二条室町,二条新町,2756
2020-02,二条室町,二条烏丸,2857
2020-02,二条新町,一条新町,2585
2020-02,二条新町,三条新町,2766
2020-02,二条新町,二条堀川,2618
2020-02,二条新町,二条室町,2706
2020-02,二条烏丸,一条烏丸,2817
2020-02,二条烏丸,三条烏丸,3006
2020-02,二条烏丸,二条室町,2896
2020-02,二条烏丸,二条車屋,2898
2020-02,二条車屋,一条車屋,2773
2020-02,二条車屋,三条車屋,2841
2020-02,二条車屋,二条烏丸,3034
2020-02,五条堀川,五条新町,2822
2020-02,五条堀川,四条堀川,2867
2020-02,五条室町,五条新町,2853
2020-02,五条室町,五条烏丸,2943
2020-02,五条室町,四条室町,3243
2020-02,五条新町,五条堀川,2742
2020-02,五条新町,五条室町,2980
2020-02,五条新町,四条新町,2981
2020-02,五条烏丸,五条室町,3062
2020-02,五条烏丸,五条車屋,3192
2020-02,五条烏丸,四条烏丸,3321
