Transaction_ID,Timestamp,Stock_ID,Buyer_ID,Seller_ID,Price,Volume,Memo
M_000032,2020-01-01T09:00:18,STK_005,USR_006,USR_008,3695.20,139,Normal
M_000005,2020-01-01T09:03:32,STK_002,USR_007,USR_006,222.54,669,Normal
M_000026,2020-01-01T09:06:16,STK_001,USR_009,USR_005,3255.49,1674,Normal
M_000003,2020-01-01T09:14:29,STK_005,USR_004,USR_009,3705.51,959,Normal
M_000043,2020-01-01T09:17:09,STK_003,USR_002,USR_009,1474.15,587,Normal
M_000023,2020-01-01T09:25:43,STK_001,USR_003,USR_010,3271.44,1722,Normal
M_000017,2020-01-01T09:30:32,STK_002,USR_001,USR_006,221.69,921,Normal
M_000040,2020-01-01T09:34:58,STK_003,USR_001,USR_009,1455.56,571,Normal
M_000011,2020-01-01T09:37:59,STK_001,USR_004,USR_005,3256.13,263,Normal
M_000001,2020-01-01T09:47:28,STK_005,USR_007,USR_001,3687.02,161,Normal
M_000002,2020-01-01T09:51:10,STK_002,USR_004,USR_009,223.69,1332,Normal
M_000033,2020-01-01T10:01:05,STK_003,USR_005,USR_004,1452.03,218,Normal
M_000006,2020-01-01T10:24:54,STK_002,USR_006,USR_002,221.42,289,Normal
M_000028,2020-01-01T10:26:22,STK_004,USR_001,USR_005,1230.01,1125,Normal
M_000029,2020-01-01T10:37:34,STK_005,USR_002,USR_005,3671.82,1823,Normal
M_000038,2020-01-01T10:49:51,STK_003,USR_007,USR_006,1465.55,997,Normal
M_000014,2020-01-01T10:54:25,STK_003,USR_002,USR_003,1459.74,1193,Normal
M_000022,2020-01-01T10:59:46,STK_002,USR_009,USR_008,220.66,286,Normal
M_000004,2020-01-01T11:00:23,STK_004,USR_010,USR_005,1227.21,1757,Normal
M_000012,2020-01-01T11:07:08,STK_001,USR_007,USR_005,3248.77,1028,Normal
M_000034,2020-01-01T11:11:32,STK_005,USR_002,USR_010,3666.83,1598,Normal
M_000015,2020-01-01T11:13:41,STK_002,USR_008,USR_007,220.37,652,Normal
M_000021,2020-01-01T11:23:29,STK_005,USR_007,USR_010,3693.39,841,Normal
M_000008,2020-01-01T11:24:27,STK_001,USR_008,USR_009,3269.26,355,Normal
M_000020,2020-01-01T11:24:39,STK_002,USR_004,USR_009,221.33,1203,Normal
M_000018,2020-01-01T11:26:13,STK_001,USR_004,USR_006,3266.41,535,Normal
M_000044,2020-01-01T11:32:05,STK_004,USR_004,USR_009,1232.21,370,Normal
M_000031,2020-01-01T12:24:12,STK_002,USR_009,USR_010,220.58,1981,Normal
M_000009,2020-01-01T12:26:43,STK_001,USR_009,USR_005,3234.07,1798,Normal
M_000007,2020-01-01T12:27:29,STK_001,USR_006,USR_010,3257.71,1336,Normal
M_000024,2020-01-01T12:50:33,STK_005,USR_002,USR_007,3680.26,881,Normal
M_000036,2020-01-01T13:19:34,STK_005,USR_003,USR_005,3704.97,1180,Normal
M_000035,2020-01-01T13:25:24,STK_001,USR_009,USR_003,3268.52,362,Normal
M_000039,2020-01-01T13:42:39,STK_004,USR_002,USR_004,1228.24,560,Normal
M_000041,2020-01-01T14:21:22,STK_002,USR_001,USR_002,221.14,1549,Normal
M_000025,2020-01-01T14:25:26,STK_004,USR_009,USR_005,1228.30,1233,Normal
M_000037,2020-01-01T14:31:16,STK_004,USR_004,USR_009,1231.15,1646,Normal
M_000010,2020-01-01T14:43:19,STK_005,USR_006,USR_004,3659.50,1542,Normal
M_000042,2020-01-01T14:44:39,STK_001,USR_004,USR_002,3257.79,1954,Normal
M_000013,2020-01-01T14:47:10,STK_003,USR_003,USR_006,1468.70,827,Normal
M_000030,2020-01-01T14:48:57,STK_005,USR_010,USR_004,3706.52,413,Normal
M_000016,2020-01-01T14:49:31,STK_005,USR_004,USR_006,3718.39,1826,Normal
M_000027,2020-01-01T14:50:03,STK_003,USR_002,USR_005,1479.98,990,Normal
M_000019,2020-01-01T14:57:57,STK_004,USR_007,USR_008,1221.33,392,Normal
M_000055,2020-01-02T09:01:10,STK_004,USR_005,USR_008,1218.37,684,Normal
M_000076,2020-01-02T09:01:56,STK_003,USR_003,USR_005,1451.45,430,Normal
M_000081,2020-01-02T09:21:47,STK_003,USR_004,USR_010,1455.81,1465,Normal
M_000075,2020-01-02T09:27:44,STK_001,USR_007,USR_005,3137.44,190,Normal
M_000066,2020-01-02T09:39:37,STK_001,USR_008,USR_002,3163.12,250,Normal
M_000051,2020-01-02T09:41:10,STK_004,USR_009,USR_002,1210.53,203,Normal
M_000046,2020-01-02T09:51:30,STK_001,USR_007,USR_006,3164.84,967,Normal
M_000082,2020-01-02T09:56:08,STK_003,USR_009,USR_007,1462.15,1371,Normal
M_000071,2020-01-02T09:56:34,STK_002,USR_005,USR_002,223.13,1922,Normal
M_000072,2020-01-02T09:58:27,STK_005,USR_003,USR_005,3743.17,677,Normal
M_000086,2020-01-02T09:59:02,STK_004,USR_001,USR_008,1204.56,555,Normal
M_000078,2020-01-02T10:01:05,STK_001,USR_003,USR_009,3155.35,173,Normal
M_000080,2020-01-02T10:09:36,STK_001,USR_005,USR_006,3158.26,1941,Normal
M_000083,2020-01-02T10:24:24,STK_002,USR_003,USR_010,222.59,1905,Normal
M_000069,2020-01-02T10:26:09,STK_004,USR_009,USR_005,1214.00,1352,Normal
M_000050,2020-01-02T10:40:12,STK_003,USR_008,USR_004,1462.20,1890,Normal
M_000060,2020-01-02T10:41:29,STK_001,USR_010,USR_002,3140.01,1482,Normal
M_000049,2020-01-02T10:43:52,STK_005,USR_008,USR_003,3742.69,964,Normal
M_000087,2020-01-02T10:48:59,STK_004,USR_006,USR_005,1215.24,1780,Normal
M_000054,2020-01-02T10:56:44,STK_004,USR_001,USR_003,1206.18,876,Normal
M_000088,2020-01-02T11:04:17,STK_002,USR_001,USR_004,223.67,916,Normal
M_000061,2020-01-02T11:08:27,STK_004,USR_002,USR_004,1215.63,1285,Normal
M_000053,2020-01-02T11:09:05,STK_002,USR_007,USR_008,222.14,1085,Normal
M_000064,2020-01-02T11:22:24,STK_002,USR_006,USR_004,225.12,643,Normal
M_000057,2020-01-02T11:42:02,STK_002,USR_001,USR_009,223.30,224,Normal
M_000058,2020-01-02T11:51:16,STK_001,USR_001,USR_008,3165.98,1129,Normal
M_000089,2020-01-02T11:59:16,STK_003,USR_002,USR_005,1455.14,819,Normal
M_000068,2020-01-02T12:10:36,STK_001,USR_004,USR_006,3145.46,683,Normal
M_000079,2020-01-02T12:21:38,STK_005,USR_009,USR_003,3726.60,980,Normal
M_000065,2020-01-02T12:36:09,STK_002,USR_005,USR_008,220.45,747,Normal
M_000048,2020-01-02T12:39:53,STK_003,USR_002,USR_004,1452.85,492,Normal
M_000047,2020-01-02T12:44:30,STK_004,USR_001,USR_002,1208.35,224,Normal
M_000085,2020-01-02T12:44:51,STK_002,USR_005,USR_003,222.94,1712,Normal
M_000084,2020-01-02T12:45:10,STK_001,USR_003,USR_006,3145.01,1702,Normal
M_000056,2020-01-02T12:51:01,STK_005,USR_008,USR_003,3761.84,488,Normal
M_000077,2020-01-02T13:01:18,STK_005,USR_007,USR_009,3753.60,119,Normal
M_000045,2020-01-02T13:18:08,STK_002,USR_008,USR_007,224.53,489,Normal
M_000059,2020-01-02T13:50:03,STK_002,USR_001,USR_009,223.78,264,Normal
M_000067,2020-01-02T13:53:37,STK_002,USR_009,USR_005,223.47,371,Normal
M_000062,2020-01-02T14:24:41,STK_001,USR_010,USR_002,3174.40,958,Normal
M_000073,2020-01-02T14:30:19,STK_002,USR_006,USR_004,225.03,1507,Normal
M_000074,2020-01-02T14:46:22,STK_003,USR_009,USR_008,1451.33,614,Normal
M_000090,2020-01-02T14:50:20,STK_005,USR_007,USR_009,3732.12,778,Normal
M_000052,2020-01-02T14:56:09,STK_005,USR_001,USR_002,3733.03,1997,Normal
M_000070,2020-01-02T14:57:09,STK_005,USR_001,USR_009,3699.37,713,Normal
M_000063,2020-01-02T14:59:00,STK_005,USR_010,USR_009,3735.83,747,Normal
M_000107,2020-01-03T09:13:20,STK_001,USR_004,USR_008,3047.08,1351,Normal
M_000108,2020-01-03T09:39:46,STK_004,USR_007,USR_004,1202.35,1571,Normal
M_000104,2020-01-03T10:32:40,STK_001,USR_005,USR_009,3078.49,1459,Normal
M_000111,2020-01-03T10:36:03,STK_005,USR_008,USR_001,3765.24,1241,Normal
M_000091,2020-01-03T10:37:31,STK_005,USR_005,USR_001,3731.97,322,Normal
M_000096,2020-01-03T10:47:36,STK_003,USR_007,USR_002,1431.26,1460,Normal
M_000106,2020-01-03T11:08:16,STK_003,USR_004,USR_010,1450.84,401,Normal
M_000112,2020-01-03T11:16:05,STK_001,USR_008,USR_003,3045.84,1741,Normal
M_000116,2020-01-03T11:21:33,STK_002,USR_005,USR_009,219.78,1092,Normal
M_000098,2020-01-03T11:44:00,STK_005,USR_005,USR_007,3725.57,768,Normal
M_000097,2020-01-03T12:00:19,STK_005,USR_006,USR_002,3723.95,1574,Normal
M_000109,2020-01-03T12:29:42,STK_004,USR_007,USR_004,1185.60,402,Normal
M_000099,2020-01-03T12:39:45,STK_003,USR_009,USR_003,1462.93,492,Normal
M_000100,2020-01-03T12:49:37,STK_004,USR_003,USR_005,1192.82,931,Normal
M_000102,2020-01-03T12:54:46,STK_005,USR_010,USR_006,3723.80,1052,Normal
M_000095,2020-01-03T12:58:08,STK_001,USR_009,USR_010,3059.86,1506,Normal
M_000103,2020-01-03T13:01:16,STK_004,USR_004,USR_009,1186.99,1069,Normal
M_000114,2020-01-03T13:01:42,STK_005,USR_009,USR_007,3726.30,1801,Normal
M_000113,2020-01-03T13:13:45,STK_005,USR_009,USR_006,3713.90,1646,Normal
M_000115,2020-01-03T13:59:12,STK_004,USR_003,USR_008,1190.96,1021,Normal
M_000101,2020-01-03T13:59:14,STK_001,USR_005,USR_010,3065.62,530,Normal
M_000094,2020-01-03T14:14:53,STK_002,USR_005,USR_001,221.78,1551,Normal
M_000092,2020-01-03T14:25:48,STK_004,USR_006,USR_010,1205.23,993,Normal
M_000093,2020-01-03T14:31:04,STK_005,USR_002,USR_007,3727.70,1942,Normal
M_000105,2020-01-03T14:45:40,STK_005,USR_006,USR_002,3738.45,1776,Normal
M_000110,2020-01-03T14:58:17,STK_001,USR_002,USR_007,3069.98,548,Normal
M_000123,2020-01-04T09:03:13,STK_003,USR_005,USR_007,1447.09,1847,Normal
M_000130,2020-01-04T09:27:27,STK_003,USR_007,USR_006,1460.98,533,Normal
M_000121,2020-01-04T09:34:00,STK_002,USR_007,USR_010,217.04,1953,Normal
M_000125,2020-01-04T10:59:50,STK_003,USR_007,USR_008,1460.71,159,Normal
M_000117,2020-01-04T11:36:02,STK_002,USR_005,USR_006,215.94,754,Normal
M_000119,2020-01-04T12:29:11,STK_002,USR_004,USR_002,217.67,949,Normal
M_000126,2020-01-04T12:32:22,STK_003,USR_007,USR_003,1464.52,1821,Normal
M_000128,2020-01-04T12:35:11,STK_005,USR_010,USR_001,3814.55,271,Normal
M_000120,2020-01-04T12:42:36,STK_003,USR_009,USR_008,1449.84,951,Normal
M_000124,2020-01-04T12:48:50,STK_005,USR_009,USR_004,3843.44,1099,Normal
M_000127,2020-01-04T13:15:15,STK_002,USR_010,USR_009,215.45,155,Normal
M_000118,2020-01-04T13:54:59,STK_001,USR_003,USR_010,3060.26,573,Normal
M_000122,2020-01-04T14:18:59,STK_001,USR_010,USR_007,3085.23,1076,Normal
M_000129,2020-01-04T14:51:01,STK_004,USR_003,USR_008,1175.07,472,Normal
M_000154,2020-01-05T09:09:25,STK_001,USR_005,USR_004,3076.48,928,Normal
M_000132,2020-01-05T09:10:35,STK_005,USR_001,USR_006,3898.44,559,Normal
M_000149,2020-01-05T09:15:40,STK_004,USR_006,USR_003,1179.47,1098,Normal
M_000164,2020-01-05T09:24:51,STK_001,USR_009,USR_005,3067.51,1528,Normal
M_000135,2020-01-05T10:08:56,STK_004,USR_002,USR_004,1181.32,1052,Normal
M_000137,2020-01-05T10:29:26,STK_003,USR_002,USR_001,1444.64,738,Normal
M_000160,2020-01-05T10:41:06,STK_002,USR_004,USR_008,218.05,666,Normal
M_000152,2020-01-05T10:44:20,STK_001,USR_004,USR_007,3080.75,1100,Normal
M_000159,2020-01-05T10:45:10,STK_003,USR_002,USR_009,1442.45,1660,Normal
M_000162,2020-01-05T10:46:00,STK_003,USR_004,USR_006,1442.38,467,Normal
M_000134,2020-01-05T10:48:52,STK_001,USR_010,USR_003,3062.20,588,Normal
M_000150,2020-01-05T10:55:50,STK_003,USR_005,USR_006,1440.97,672,Normal
M_000155,2020-01-05T11:12:52,STK_003,USR_010,USR_006,1458.55,1069,Normal
M_000147,2020-01-05T11:14:04,STK_001,USR_005,USR_008,3067.99,599,Normal
M_000136,2020-01-05T11:19:56,STK_003,USR_003,USR_002,1431.96,1692,Normal
M_000131,2020-01-05T11:31:57,STK_004,USR_005,USR_002,1173.25,1063,Normal
M_000163,2020-01-05T11:45:04,STK_001,USR_009,USR_003,3079.43,661,Normal
M_000158,2020-01-05T11:47:27,STK_003,USR_004,USR_002,1431.27,1577,Normal
M_000144,2020-01-05T13:11:04,STK_002,USR_007,USR_003,218.02,1602,Normal
M_000148,2020-01-05T13:13:47,STK_005,USR_010,USR_007,3860.92,788,Normal
M_000146,2020-01-05T13:24:03,STK_004,USR_007,USR_005,1172.22,760,Normal
M_000143,2020-01-05T13:27:42,STK_001,USR_007,USR_006,3109.77,1401,Normal
